">epoch=171, lrate=0.001, train_error=0.418, train_acc=0.772, test_error=0.526, test_acc=0.177"
">epoch=172, lrate=0.001, train_error=0.417, train_acc=0.772, test_error=0.526, test_acc=0.177"
">epoch=173, lrate=0.001, train_error=0.417, train_acc=0.771, test_error=0.526, test_acc=0.176"
">epoch=174, lrate=0.001, train_error=0.416, train_acc=0.770, test_error=0.525, test_acc=0.176"
">epoch=175, lrate=0.001, train_error=0.416, train_acc=0.771, test_error=0.524, test_acc=0.176"
">epoch=176, lrate=0.001, train_error=0.415, train_acc=0.770, test_error=0.523, test_acc=0.176"
">epoch=177, lrate=0.001, train_error=0.414, train_acc=0.773, test_error=0.522, test_acc=0.177"
">epoch=178, lrate=0.001, train_error=0.414, train_acc=0.774, test_error=0.521, test_acc=0.177"
">epoch=179, lrate=0.001, train_error=0.413, train_acc=0.776, test_error=0.519, test_acc=0.177"
">epoch=180, lrate=0.001, train_error=0.412, train_acc=0.776, test_error=0.518, test_acc=0.178"
">epoch=181, lrate=0.001, train_error=0.411, train_acc=0.777, test_error=0.516, test_acc=0.178"
">epoch=182, lrate=0.001, train_error=0.409, train_acc=0.778, test_error=0.515, test_acc=0.178"
">epoch=183, lrate=0.001, train_error=0.408, train_acc=0.780, test_error=0.513, test_acc=0.178"
">epoch=184, lrate=0.001, train_error=0.407, train_acc=0.780, test_error=0.511, test_acc=0.179"
">epoch=185, lrate=0.001, train_error=0.406, train_acc=0.781, test_error=0.510, test_acc=0.179"
">epoch=186, lrate=0.001, train_error=0.405, train_acc=0.783, test_error=0.509, test_acc=0.179"
">epoch=187, lrate=0.001, train_error=0.404, train_acc=0.783, test_error=0.507, test_acc=0.179"
">epoch=188, lrate=0.001, train_error=0.403, train_acc=0.784, test_error=0.506, test_acc=0.180"
">epoch=189, lrate=0.001, train_error=0.402, train_acc=0.785, test_error=0.506, test_acc=0.180"
">epoch=190, lrate=0.001, train_error=0.402, train_acc=0.784, test_error=0.504, test_acc=0.180"
">epoch=191, lrate=0.001, train_error=0.401, train_acc=0.784, test_error=0.502, test_acc=0.179"
">epoch=192, lrate=0.001, train_error=0.401, train_acc=0.783, test_error=0.500, test_acc=0.180"
">epoch=193, lrate=0.001, train_error=0.401, train_acc=0.782, test_error=0.498, test_acc=0.180"
">epoch=194, lrate=0.001, train_error=0.401, train_acc=0.781, test_error=0.496, test_acc=0.181"
">epoch=195, lrate=0.001, train_error=0.401, train_acc=0.781, test_error=0.495, test_acc=0.181"
">epoch=196, lrate=0.001, train_error=0.401, train_acc=0.781, test_error=0.494, test_acc=0.182"
">epoch=197, lrate=0.001, train_error=0.401, train_acc=0.780, test_error=0.492, test_acc=0.182"
">epoch=198, lrate=0.001, train_error=0.402, train_acc=0.781, test_error=0.490, test_acc=0.182"
">epoch=199, lrate=0.001, train_error=0.402, train_acc=0.781, test_error=0.487, test_acc=0.182"
">epoch=200, lrate=0.001, train_error=0.402, train_acc=0.783, test_error=0.484, test_acc=0.182"
">epoch=201, lrate=0.001, train_error=0.403, train_acc=0.783, test_error=0.481, test_acc=0.183"
">epoch=202, lrate=0.001, train_error=0.403, train_acc=0.783, test_error=0.479, test_acc=0.183"
">epoch=203, lrate=0.001, train_error=0.403, train_acc=0.782, test_error=0.476, test_acc=0.184"
">epoch=204, lrate=0.001, train_error=0.404, train_acc=0.781, test_error=0.473, test_acc=0.185"
">epoch=205, lrate=0.001, train_error=0.404, train_acc=0.781, test_error=0.471, test_acc=0.185"
">epoch=206, lrate=0.001, train_error=0.404, train_acc=0.781, test_error=0.468, test_acc=0.186"
">epoch=207, lrate=0.001, train_error=0.403, train_acc=0.783, test_error=0.465, test_acc=0.186"
">epoch=208, lrate=0.001, train_error=0.403, train_acc=0.784, test_error=0.463, test_acc=0.186"
">epoch=209, lrate=0.001, train_error=0.402, train_acc=0.783, test_error=0.460, test_acc=0.187"
">epoch=210, lrate=0.001, train_error=0.401, train_acc=0.783, test_error=0.459, test_acc=0.187"
">epoch=211, lrate=0.001, train_error=0.400, train_acc=0.782, test_error=0.458, test_acc=0.188"
">epoch=212, lrate=0.001, train_error=0.399, train_acc=0.784, test_error=0.457, test_acc=0.188"
">epoch=213, lrate=0.001, train_error=0.397, train_acc=0.788, test_error=0.455, test_acc=0.189"
">epoch=214, lrate=0.001, train_error=0.396, train_acc=0.787, test_error=0.453, test_acc=0.188"
">epoch=215, lrate=0.001, train_error=0.394, train_acc=0.787, test_error=0.453, test_acc=0.189"
