">epoch=136, lrate=0.001, train_error=0.432, train_acc=0.763, test_error=0.523, test_acc=0.713"
">epoch=137, lrate=0.001, train_error=0.430, train_acc=0.765, test_error=0.523, test_acc=0.712"
">epoch=138, lrate=0.001, train_error=0.428, train_acc=0.765, test_error=0.523, test_acc=0.708"
">epoch=139, lrate=0.001, train_error=0.425, train_acc=0.765, test_error=0.523, test_acc=0.707"
">epoch=140, lrate=0.001, train_error=0.422, train_acc=0.769, test_error=0.523, test_acc=0.704"
">epoch=141, lrate=0.001, train_error=0.419, train_acc=0.769, test_error=0.521, test_acc=0.703"
">epoch=142, lrate=0.001, train_error=0.416, train_acc=0.771, test_error=0.520, test_acc=0.704"
">epoch=143, lrate=0.001, train_error=0.414, train_acc=0.771, test_error=0.522, test_acc=0.703"
">epoch=144, lrate=0.001, train_error=0.412, train_acc=0.773, test_error=0.521, test_acc=0.704"
">epoch=145, lrate=0.001, train_error=0.411, train_acc=0.775, test_error=0.523, test_acc=0.703"
">epoch=146, lrate=0.001, train_error=0.410, train_acc=0.776, test_error=0.525, test_acc=0.704"
">epoch=147, lrate=0.001, train_error=0.408, train_acc=0.776, test_error=0.527, test_acc=0.705"
">epoch=148, lrate=0.001, train_error=0.407, train_acc=0.776, test_error=0.529, test_acc=0.704"
">epoch=149, lrate=0.001, train_error=0.407, train_acc=0.776, test_error=0.531, test_acc=0.702"
">epoch=150, lrate=0.001, train_error=0.406, train_acc=0.777, test_error=0.533, test_acc=0.701"
">epoch=151, lrate=0.001, train_error=0.406, train_acc=0.778, test_error=0.535, test_acc=0.700"
">epoch=152, lrate=0.001, train_error=0.405, train_acc=0.779, test_error=0.535, test_acc=0.697"
">epoch=153, lrate=0.001, train_error=0.405, train_acc=0.779, test_error=0.534, test_acc=0.697"
">epoch=154, lrate=0.001, train_error=0.405, train_acc=0.779, test_error=0.534, test_acc=0.697"
">epoch=155, lrate=0.001, train_error=0.406, train_acc=0.779, test_error=0.535, test_acc=0.698"
">epoch=156, lrate=0.001, train_error=0.406, train_acc=0.779, test_error=0.533, test_acc=0.697"
">epoch=157, lrate=0.001, train_error=0.407, train_acc=0.778, test_error=0.532, test_acc=0.699"
">epoch=158, lrate=0.001, train_error=0.408, train_acc=0.779, test_error=0.530, test_acc=0.698"
">epoch=159, lrate=0.001, train_error=0.409, train_acc=0.779, test_error=0.529, test_acc=0.697"
">epoch=160, lrate=0.001, train_error=0.410, train_acc=0.779, test_error=0.528, test_acc=0.695"
">epoch=161, lrate=0.001, train_error=0.411, train_acc=0.779, test_error=0.528, test_acc=0.695"
">epoch=162, lrate=0.001, train_error=0.412, train_acc=0.778, test_error=0.528, test_acc=0.698"
